Country,Continent,hdicode,region,HDI,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank
Afghanistan,Asia,Low,SA,0.462,62.9,10.7,2.5,"1,335",2
Albania,Europe,High,SSA,0.789,76.8,14.5,10.1,"15,293",7
Algeria,Africa,High,ECA,0.745,77.1,15.5,7,"10,978",13
Andorra,Europe,Very High,,0.884,83.6,12.8,11.6,"54,233",-15
Angola,Africa,Medium,AS,0.591,61.9,12.2,5.8,"5,328",-11
Antigua and Barbuda,North America,High,LAC,0.826,79.2,15.5,10.5,"18,784",18
Argentina,South America,Very High,ECA,0.849,76.1,19,11.1,"22,048",17
Armenia,Asia,High,LAC,0.786,73.4,14.4,11.3,"15,388",4
Australia,Australia,Very High,,0.946,83.6,21.1,12.7,"49,257",14
Austria,Europe,Very High,,0.926,82.4,16.4,12.3,"56,530",-5
Azerbaijan,Asia,High,ECA,0.76,73.5,12.7,10.6,"15,018",-7
Bahamas,North America,Very High,SSA,0.82,74.4,11.9,12.7,"32,535",-9
Bahrain,Asia,Very High,,0.888,79.2,16.3,11,"48,731",-9
Bangladesh,Asia,Medium,SSA,0.67,73.7,11.9,7.4,"6,511",2
Barbados,North America,High,SSA,0.809,77.7,16.5,9.9,"14,810",24
Belarus,Europe,Very High,SA,0.801,73.2,14,12.2,"18,425",5
Belgium,Europe,Very High,,0.942,82.3,18.9,12.5,"53,644",9
Belize,North America,Medium,AS,0.7,71,12.4,8.8,"9,242",-3
Benin,Africa,Low,LAC,0.504,60,10.3,3.1,"3,406",-14
Bhutan,Asia,Medium,ECA,0.681,72.2,13.1,5.8,"10,625",-15
Bolivia,South America,Medium,ECA,0.698,64.9,15,9.8,"7,988",3
Bosnia and Herzegovina,Europe,High,LAC,0.779,75.3,13.3,10.5,"16,571",-3
Botswana,Africa,Medium,LAC,0.708,65.9,11.4,10.4,"14,842",-29
Brazil,South America,High,LAC,0.76,73.4,15.6,8.3,"14,616",0
Brunei,Asia,Very High,LAC,0.823,74.6,13.7,9.2,"59,246",-43
Bulgaria,Europe,High,EAP,0.799,71.5,13.9,11.4,"25,921",-12
Burkina Faso,Africa,Low,SA,0.438,59.8,8.1,2.3,"2,037",-9
Burundi,Africa,Low,SSA,0.42,62,10,3.3,712,5
Cabo Verde,Africa,Medium,SSA,0.661,74.7,11.5,6.1,"7,601",-4
Cambodia,Asia,Medium,,0.6,69.9,11.6,5.2,"4,291",0
Cameroon,Africa,Medium,,0.587,61,13.4,6.5,"3,681",3
Canada,North America,Very High,LAC,0.935,82.8,16,13.9,"48,444",8
Central African Rep.,Africa,Low,EAP,0.387,54.5,7.3,4,869,0
Chad,Africa,Low,SSA,0.394,53,8.2,2.3,"1,389",-6
Chile,South America,Very High,SSA,0.86,79.5,16.8,11.1,"24,431",15
China,Asia,High,SSA,0.788,78.6,15.2,8.1,"18,025",0
Colombia,South America,High,SSA,0.758,73.7,14.4,8.9,"15,014",-8
Comoros,Africa,Medium,LAC,0.586,63.7,13,6.2,"3,261",8
Dem. Rep. Congo,Africa,Low,SSA,0.593,63.1,12.4,8.3,"2,903",14
Congo,Africa,Medium,SSA,0.481,59.7,9.6,7.2,"1,080",9
Costa Rica,North America,Very High,LAC,0.806,77.3,16.1,8.8,"20,248",2
Cote d'Ivoire,Africa,Medium,LAC,0.534,58.9,10.1,4.2,"5,376",-30
Croatia,Europe,Very High,,0.878,79.2,15.6,12.3,"34,324",5
Cuba,North America,High,,0.764,78.2,14.5,10.5,"7,953",40
Cyprus,Asia,Very High,,0.907,81.9,16.2,12.4,"40,137",7
Czechia,Europe,Very High,AS,0.895,78.1,16.3,12.9,"39,945",6
Denmark,Europe,Very High,LAC,0.952,81.9,18.8,13,"62,019",6
Djibouti,Africa,Low,,0.515,62.9,8,3.9,"4,875",-29
Dominica,North America,High,LAC,0.74,73,13.6,9.2,"12,468",-1
Dominican Rep.,North America,High,AS,0.766,74.2,13.6,9.2,"18,653",-9
Ecuador,South America,High,LAC,0.765,77.9,14.9,9,"10,693",25
Egypt,Africa,High,AS,0.728,70.2,12.9,9.8,"12,361",-8
El Salvador,North America,Medium,SSA,0.674,71.5,11.9,7.2,"8,886",-7
Eq. Guinea,Africa,Medium,,0.65,61.2,12.1,8.3,"10,663",-24
Eritrea,Africa,Low,,0.493,66.6,7.3,5.1,"1,957",2
Estonia,Europe,Very High,SSA,0.899,79.2,15.9,13.5,"37,152",9
eSwatini,Africa,Medium,,0.61,56.4,14.9,5.7,"8,392",-21
Ethiopia,Africa,Low,EAP,0.492,65.6,9.9,2.4,"2,369",-8
